task_id,json_output_bytes,compact_json_bytes,cbor_bytes,msgpack_bytes,m_bytecode_bytes,json_parsed
V2_001,79,54,42,42,7,True
V2_002,68,55,43,43,7,True
V2_003,67,54,42,42,7,True
V2_004,68,55,43,43,7,True
V2_005,406,73,61,61,5,True
V2_006,241,73,61,61,5,True
V2_007,255,74,62,62,5,True
V2_008,270,85,73,73,5,True
V2_009,269,77,65,65,5,True
V2_010,303,135,102,101,9,True
V2_011,204,129,97,96,9,True
V2_012,203,128,96,96,10,True
V2_013,204,129,98,98,10,True
V2_014,179,105,80,79,9,True
V2_015,180,106,80,79,9,True
V2_016,180,106,80,80,10,True
V2_017,176,105,78,78,10,True
V2_018,175,105,80,79,9,True
V2_019,203,128,96,95,9,True
V2_020,175,105,79,79,10,True
V2_021,176,106,81,81,10,True
V2_022,179,112,85,84,9,True
V2_023,233,140,103,101,9,True
V2_024,233,140,103,103,10,True
V2_025,233,140,105,105,10,True
V2_026,182,109,82,81,7,True
V2_027,182,109,82,82,8,True
V2_028,182,109,83,83,8,True
V2_029,183,110,83,83,8,True
V2_030,190,117,90,89,7,True
V2_031,198,126,97,97,8,True
V2_032,190,117,91,91,8,True
V2_033,199,127,98,98,8,True
V2_034,187,114,87,86,7,True
V2_035,187,114,87,87,8,True
V2_036,187,114,88,88,8,True
V2_037,188,115,88,88,8,True
V2_038,308,140,107,106,13,True
V2_039,309,141,107,106,13,True
V2_040,309,141,107,107,14,True
V2_041,423,128,95,95,14,True
V2_042,309,141,108,107,13,True
V2_043,310,142,108,107,13,True
V2_044,310,142,108,108,14,True
V2_045,310,142,109,109,14,True
V2_046,314,146,113,112,13,True
V2_047,315,147,113,112,13,True
V2_048,315,147,113,113,14,True
V2_049,315,147,114,114,14,True
V2_050,315,147,114,113,13,True
V2_051,316,148,114,113,13,True
V2_052,316,148,114,114,14,True
V2_053,316,148,115,115,14,True
V2_054,311,143,110,109,13,True
V2_055,312,144,110,109,13,True
V2_056,312,144,110,110,14,True
V2_057,312,144,111,111,14,True
V2_058,312,144,111,110,13,True
V2_059,313,145,111,110,13,True
V2_060,313,145,111,111,14,True
V2_061,313,145,112,112,14,True
V2_062,308,140,107,106,13,True
V2_063,457,140,102,101,13,True
V2_064,309,141,107,107,14,True
V2_065,309,141,108,108,14,True
V2_066,309,141,108,107,13,True
V2_067,310,142,108,107,13,True
V2_068,310,142,108,108,14,True
V2_069,424,129,96,96,14,True
V2_070,314,146,113,112,13,True
V2_071,315,147,113,112,13,True
V2_072,464,147,109,109,14,True
V2_073,315,147,114,114,14,True
V2_074,315,147,114,113,13,True
V2_075,316,148,114,113,13,True
V2_076,316,148,114,114,14,True
V2_077,316,148,115,115,14,True
V2_078,311,143,110,109,13,True
V2_079,312,144,110,109,13,True
V2_080,312,144,110,110,14,True
V2_081,312,144,111,111,14,True
V2_082,312,144,111,110,13,True
V2_083,313,145,111,110,13,True
V2_084,313,145,111,111,14,True
V2_085,313,145,112,112,14,True
V2_086,327,109,84,84,9,True
V2_087,327,115,90,90,9,True
V2_088,344,121,96,96,9,True
V2_089,341,118,93,93,9,True
V2_090,173,109,84,84,9,True
V2_091,352,115,90,90,9,True
V2_092,319,121,96,96,9,True
V2_093,313,118,93,93,9,True
V2_094,306,115,90,90,9,True
V2_095,306,115,90,90,9,True
V2_096,191,127,102,102,9,True
V2_097,188,124,99,99,9,True
V2_098,318,121,96,96,9,True
V2_099,484,121,96,96,9,True
V2_100,520,127,102,102,9,True
V2_101,468,130,105,105,9,True
V2_102,475,118,93,93,9,True
V2_103,475,118,93,93,9,True
V2_104,188,124,99,99,9,True
V2_105,529,130,105,105,9,True
V2_106,337,169,125,124,13,True
V2_107,304,136,102,101,13,True
V2_108,304,136,102,102,14,True
V2_109,318,159,118,118,14,True
V2_110,306,147,110,109,13,True
V2_111,304,136,102,101,13,True
V2_112,304,136,102,102,14,True
V2_113,459,159,119,119,14,True
