task_id,category,bytecode_bytes,exec_steps,execution_pass
V2_001,single_set,7,4,True
V2_002,single_set,7,4,True
V2_003,single_set,7,4,True
V2_004,single_set,7,4,True
V2_005,single_read,5,3,True
V2_006,single_read,5,3,True
V2_007,single_read,5,3,True
V2_008,single_read,5,3,True
V2_009,single_read,5,3,True
V2_010,set_wait_halt,9,5,True
V2_011,set_wait_halt,9,5,True
V2_012,set_wait_halt,10,5,True
V2_013,set_wait_halt,10,5,True
V2_014,set_wait_halt,9,5,True
V2_015,set_wait_halt,9,5,True
V2_016,set_wait_halt,10,5,True
V2_017,set_wait_halt,10,5,True
V2_018,set_wait_halt,9,5,True
V2_019,set_wait_halt,9,5,True
V2_020,set_wait_halt,10,5,True
V2_021,set_wait_halt,10,5,True
V2_022,set_wait_halt,9,5,True
V2_023,set_wait_halt,9,5,True
V2_024,set_wait_halt,10,5,True
V2_025,set_wait_halt,10,5,True
V2_026,wait_read,7,4,True
V2_027,wait_read,8,4,True
V2_028,wait_read,8,4,True
V2_029,wait_read,8,4,True
V2_030,wait_read,7,4,True
V2_031,wait_read,8,4,True
V2_032,wait_read,8,4,True
V2_033,wait_read,8,4,True
V2_034,wait_read,7,4,True
V2_035,wait_read,8,4,True
V2_036,wait_read,8,4,True
V2_037,wait_read,8,4,True
V2_038,set_wait_read,13,7,True
V2_039,set_wait_read,13,7,True
V2_040,set_wait_read,14,7,True
V2_041,set_wait_read,14,7,True
V2_042,set_wait_read,13,7,True
V2_043,set_wait_read,13,7,True
V2_044,set_wait_read,14,7,True
V2_045,set_wait_read,14,7,True
V2_046,set_wait_read,13,7,True
V2_047,set_wait_read,13,7,True
V2_048,set_wait_read,14,7,True
V2_049,set_wait_read,14,7,True
V2_050,set_wait_read,13,7,True
V2_051,set_wait_read,13,7,True
V2_052,set_wait_read,14,7,True
V2_053,set_wait_read,14,7,True
V2_054,set_wait_read,13,7,True
V2_055,set_wait_read,13,7,True
V2_056,set_wait_read,14,7,True
V2_057,set_wait_read,14,7,True
V2_058,set_wait_read,13,7,True
V2_059,set_wait_read,13,7,True
V2_060,set_wait_read,14,7,True
V2_061,set_wait_read,14,7,True
V2_062,set_wait_read,13,7,True
V2_063,set_wait_read,13,7,True
V2_064,set_wait_read,14,7,True
V2_065,set_wait_read,14,7,True
V2_066,set_wait_read,13,7,True
V2_067,set_wait_read,13,7,True
V2_068,set_wait_read,14,7,True
V2_069,set_wait_read,14,7,True
V2_070,set_wait_read,13,7,True
V2_071,set_wait_read,13,7,True
V2_072,set_wait_read,14,7,True
V2_073,set_wait_read,14,7,True
V2_074,set_wait_read,13,7,True
V2_075,set_wait_read,13,7,True
V2_076,set_wait_read,14,7,True
V2_077,set_wait_read,14,7,True
V2_078,set_wait_read,13,7,True
V2_079,set_wait_read,13,7,True
V2_080,set_wait_read,14,7,True
V2_081,set_wait_read,14,7,True
V2_082,set_wait_read,13,7,True
V2_083,set_wait_read,13,7,True
V2_084,set_wait_read,14,7,True
V2_085,set_wait_read,14,7,True
V2_086,multi_read,9,5,True
V2_087,multi_read,9,5,True
V2_088,multi_read,9,5,True
V2_089,multi_read,9,5,True
V2_090,multi_read,9,5,True
V2_091,multi_read,9,5,True
V2_092,multi_read,9,5,True
V2_093,multi_read,9,5,True
V2_094,multi_read,9,5,True
V2_095,multi_read,9,5,True
V2_096,multi_read,9,5,True
V2_097,multi_read,9,5,True
V2_098,multi_read,9,5,True
V2_099,multi_read,9,5,True
V2_100,multi_read,9,5,True
V2_101,multi_read,9,5,True
V2_102,multi_read,9,5,True
V2_103,multi_read,9,5,True
V2_104,multi_read,9,5,True
V2_105,multi_read,9,5,True
V2_106,pulse,13,7,True
V2_107,pulse,13,7,True
V2_108,pulse,14,7,True
V2_109,pulse,14,7,True
V2_110,pulse,13,7,True
V2_111,pulse,13,7,True
V2_112,pulse,14,7,True
V2_113,pulse,14,7,True
