task_id,raw_success,filtered_success,grammar_valid_count,grammar_valid_rate
V2_001,1,1,5,1.0
V2_002,1,1,5,1.0
V2_003,1,1,5,1.0
V2_004,1,1,4,0.8
V2_005,1,1,5,1.0
V2_006,1,1,5,1.0
V2_007,1,1,5,1.0
V2_008,1,1,5,1.0
V2_009,1,1,5,1.0
V2_010,1,1,5,1.0
V2_011,1,1,5,1.0
V2_012,1,1,5,1.0
V2_013,1,1,5,1.0
V2_014,1,1,5,1.0
V2_015,1,1,5,1.0
V2_016,1,1,5,1.0
V2_017,1,1,5,1.0
V2_018,1,1,5,1.0
V2_019,0,0,5,1.0
V2_020,1,1,5,1.0
V2_021,1,1,5,1.0
V2_022,1,1,5,1.0
V2_023,1,1,5,1.0
V2_024,0,0,5,1.0
V2_025,1,1,5,1.0
V2_026,1,1,5,1.0
V2_027,1,1,5,1.0
V2_028,1,1,5,1.0
V2_029,1,1,5,1.0
V2_030,1,1,5,1.0
V2_031,1,1,5,1.0
V2_032,1,1,5,1.0
V2_033,1,1,5,1.0
V2_034,1,1,5,1.0
V2_035,1,1,5,1.0
V2_036,1,1,5,1.0
V2_037,1,1,5,1.0
V2_038,1,1,5,1.0
V2_039,1,1,5,1.0
V2_040,1,1,5,1.0
V2_041,1,1,5,1.0
V2_042,1,1,5,1.0
V2_043,1,1,4,0.8
V2_044,0,0,5,1.0
V2_045,0,0,5,1.0
V2_046,1,1,5,1.0
V2_047,0,0,5,1.0
V2_048,1,1,5,1.0
V2_049,1,1,5,1.0
V2_050,1,1,5,1.0
V2_051,1,1,4,0.8
V2_052,1,1,5,1.0
V2_053,0,0,5,1.0
V2_054,1,1,5,1.0
V2_055,0,0,5,1.0
V2_056,1,1,5,1.0
V2_057,1,1,5,1.0
V2_058,1,1,5,1.0
V2_059,1,1,5,1.0
V2_060,1,1,5,1.0
V2_061,1,1,5,1.0
V2_062,1,1,5,1.0
V2_063,1,1,5,1.0
V2_064,0,0,5,1.0
V2_065,0,0,4,0.8
V2_066,1,1,5,1.0
V2_067,1,1,5,1.0
V2_068,1,1,5,1.0
V2_069,1,1,5,1.0
V2_070,1,1,5,1.0
V2_071,1,1,5,1.0
V2_072,0,0,5,1.0
V2_073,1,1,5,1.0
V2_074,1,1,5,1.0
V2_075,1,1,5,1.0
V2_076,1,1,5,1.0
V2_077,0,0,5,1.0
V2_078,1,1,5,1.0
V2_079,0,0,5,1.0
V2_080,1,1,5,1.0
V2_081,0,0,5,1.0
V2_082,1,1,5,1.0
V2_083,0,0,5,1.0
V2_084,1,1,5,1.0
V2_085,1,1,4,0.8
V2_086,1,1,4,0.8
V2_087,1,1,3,0.6
V2_088,0,1,3,0.6
V2_089,1,1,5,1.0
V2_090,1,1,3,0.6
V2_091,1,1,5,1.0
V2_092,1,1,4,0.8
V2_093,1,1,5,1.0
V2_094,1,1,5,1.0
V2_095,1,1,2,0.4
V2_096,0,1,3,0.6
V2_097,1,1,4,0.8
V2_098,1,1,4,0.8
V2_099,1,1,4,0.8
V2_100,1,1,5,1.0
V2_101,1,1,3,0.6
V2_102,0,1,3,0.6
V2_103,0,1,2,0.4
V2_104,1,1,5,1.0
V2_105,1,1,5,1.0
V2_106,1,1,5,1.0
V2_107,1,1,5,1.0
V2_108,1,1,5,1.0
V2_109,1,1,5,1.0
V2_110,1,1,5,1.0
V2_111,1,1,5,1.0
V2_112,1,1,5,1.0
V2_113,1,1,5,1.0
