idx,class,n_bytes,intercept_stage,fault_code,blocked,escaped,hex
0,unauthorized_io,5,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,1e02460852
1,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50062152
2,infinite_loop,4,vm_runtime,EXEC_FAULT_STEP_LIMIT,1,0,50056401
3,stack_underflow,4,vm_runtime,EXEC_FAULT_STACK_UNDERFLOW,1,0,50054052
4,stack_overflow,535,vm_runtime,EXEC_FAULT_STACK_OVERFLOW,1,0,1e0a1e0a1e081e001e081e061e001e001e001e021e021e081e081e001e081e021e0a1e0a1e0a1e081e061e021e061e081e041e001e021e0a1e061e041e041e021e021e041e001e001e061e001e041e041e081e041e001e0a1e061e081e001e061e001e081e041e0a1e081e041e081e021e0a1e001e001e0a1e021e041e001e021e001e061e041e061e0a1e041e021e041e041e021e0a1e041e0a1e0a1e0a1e001e081e0a1e021e081e0a1e021e021e061e061e041e0a1e0a1e081e021e0a1e041e001e021e001e041e061e041e001e021e081e0a1e041e021e0a1e061e061e0a1e061e021e041e021e021e0a1e081e081e041e0a1e081e061e081e061e041e021e021e081e061e001e001e001e021e0a1e021e0a1e061e081e001e061e061e081e061e081e041e081e001e0a1e0a1e001e0a1e081e041e0a1e041e001e041e061e021e061e001e0a1e0a1e041e081e021e081e001e0a1e041e0a1e081e081e021e021e041e021e081e081e001e081e041e061e001e001e041e041e021e001e021e081e001e001e0a1e061e001e081e021e021e0a1e061e081e021e041e081e081e061e021e081e0a1e0a1e021e0a1e041e061e0a1e0a1e041e061e081e061e001e021e021e001e041e001e081e081e021e081e021e001e001e0a1e0a1e001e021e001e001e041e001e081e021e041e0a1e061e021e081e021e0a1e081e081e061e021e061e061e021e001e001e0a1e061e041e061e0652
5,jump_oob,5,verifier,VERIFY_BAD_ENCODING,1,0,5006646452
6,truncated_varint,4,verifier,VERIFY_BAD_ENCODING,1,0,50051e81
7,random_bytes,13,verifier,VERIFY_BAD_ENCODING,1,0,ad377f6261e547d85d8eec7f26
8,unauthorized_io,3,vm_runtime,EXEC_FAULT_UNAUTHORIZED_IO,1,0,470652
9,bad_opcode,4,verifier,VERIFY_BAD_ENCODING,1,0,50050352
